word1-translated	word2-translated	Assoc(USF)
جدید	قدیم	0.2
نئی	قدیم	0.2
سست	مضحکہ خیز	0.2
خوش	نوجوان	0.2
آسان	بڑا	0.2
زبردست	خوفناک	0.15
چھوٹے	بہت بڑا	0.15
شائستہ	مناسب	0.14
معمولی	شرمندہ	0.14
غیر ملکی	نایاب	0.14
گونگا	ہوشیار	0.14
خوشگوار	حیرت انگیز	0.14
قابل ذکر	واضح	0.14
ڈر	فکر مند	0.14
رسمی	مناسب	0.14
ڈریری	سست	0.14
خوشگوار	خوشگوار	0.14
ناخوش	پاگل	0.14
اداس	خوفناک	0.14
بیمار	پاگل	0.14
پرتشدد	ناراض	0.14
لادن	بھاری	0.14
گندی	سستا	0.14
لچکدار	لچکدار	0.14
سخت	گھنے	0.14
حال ہی میں	نئی	0.13
جرات مندانہ	فخر	0.12
مہلک	عجیب	0.0
عجیب	مہلک	0.0
گونگا	نایاب	0.0
مہلک	مشکل	0.0
خوفناک	پاگل	0.0
معمولی	لچکدار	0.0
تازه	وسیع	0.0
بہت بڑا	گونگا	0.0
بڑی	لچکدار	0.0
گندی	تنگ	0.0
بیوی	شوہر	8.85
کتاب	متن	8.81
دولہا	دلہن	8.65
رات	دن	8.19
جنوب	شمال	7.72
ہوائی جہاز	ہوائی اڈے	7.57
چاچا	چاچی	7.46
گھوڑے	ہمارا	7.4
نیچے	اوپر	6.96
دوست	دوست	6.87
طالب علم	طالب علم	6.83
دنیا	دنیا	6.79
ٹانگ	بازو	6.73
ہوائی جہاز	جیٹ	6.62
عورت	آدمی	6.6
گھوڑے	کالٹ	6.54
اداکارہ	اداکار	5.78
استاد	انسٹرکٹر	5.66
فلم	فلم	5.43
پرندہ	ہاک	5.29
لفظ	لغت	5.2
پیسہ	تنخواہ	5.16
کتا	کیٹ	5.13
رقبہ	خطے	5.12
بحریہ	فوج	5.0
کتاب	ادب	4.86
کپڑے	الماری	4.83
غروب آفتاب	طلوع آفتاب	4.8
بچہ	بالغ	4.59
گائے	مویشیوں	4.39
کتاب	کہانی	4.19
موسم سرما	موسم گرما	3.96
ٹیکسی	ٹیکسی	3.86
درخت	میپل	3.67
بستر	بیڈروم	3.53
چھت	چھت	3.5
بیماری	انفیکشن	3.45
بازو	کندھے	3.35
بھیڑ	میمنے	3.33
خاتون	سلیمان	3.29
کشتی	لنگر	3.25
پادری	بندر	3.23
پیر	انگلی	3.22
دریا	ندی	3.21
غصہ	غصہ	3.06
تاریخ	کیلنڈر	3.05
سمندر	سمندر	2.91
دوسرا	منٹ	2.84
ہاتھ	انگوٹھے	2.84
لکڑی	لاگ ان	2.79
مٹی	گندگی	2.76
دالان	راہداری	2.7
راستہ	انداز	2.56
ماؤس	کیٹ	2.56
پولیس	شیرف	2.54
موت	دفن	2.46
موسیقی	مہودی	2.43
بیئر	شراب	2.4
منہ	ہپ	2.28
طوفان	طوفان	2.27
ٹیکس	آمدنی	2.25
پھول	وایلیٹ	2.22
کاغذ	گتے	2.2
فرش	چھت	2.18
ساحل سمندر	سمندر	2.15
چھڑی	پردے	2.13
ہاؤنڈ	لومڑی	2.13
سڑک	گلی	2.07
کشتی	ڈیک	2.04
کار	سینگ	2.04
دوست	مہمان	1.97
آجر	ملازم	1.96
ہاتھ	کلائی	1.96
گیند	تپ	1.96
شراب	برینڈی	1.93
فتح	فتح	1.9
ٹیلی فون	بوٹ	1.88
دروازہ	راہ گزر	1.88
موٹل	سرائے	1.86
کپڑے	کپڑا	1.82
سٹیک	گوشت	1.81
کیل	انگوٹھے	1.76
بینڈ	آرکسٹرا	1.75
کتاب	بائبل	1.74
کاروبار	صنعت	1.73
موسم سرما	موسم	1.71
دہائی	صدی	1.64
شراب	گن	1.64
ٹوپی	کوٹ	1.62
ونڈو	دروازہ	1.56
بازو	کلائی	1.55
گھر	اپارٹمنٹ	1.54
گلاس	کرسٹل	1.52
شراب	برینڈی	1.52
خالق	بنانے والا	1.51
رات کا کھانا	ناشتہ	1.49
بازو	پٹھوں	1.45
بلبلا	سوڈ	1.42
روٹی	آٹا	1.42
موت	سانحہ	1.41
عدم موجودگی	موجودگی	1.38
بندوق	تپ	1.35
گھاس	بلیڈ	1.34
گیند	ٹوکری	1.33
نلی	باغ	1.32
لڑکا	بچہ	1.28
چرچ	کوائر	1.27
کپڑے	دراج	1.27
ٹاور	گھنٹی	1.22
باپ	والدین	1.19
اسکول	گریڈ	1.18
والدین	بالغ	1.15
بار	جیل	1.15
کار	ہائی وے	1.15
لغت	تعریف	1.14
دروازہ	سیلار	1.13
فوج	بڑا لشکر	1.11
دھاتی	ایلومینیم	1.1
کرسی	بینچ	1.09
بادل	دھند	1.05
لڑکا	بیٹا	1.03
پانی	برف	1.03
بستر	کمبل	1.02
اٹارنی	وکیل	1.01
رقبہ	زون	0.97
کاروبار	کمپنی	0.97
کپڑے	کپڑے	0.96
سویٹر	جیکٹ	0.96
پیسہ	دارالحکومت	0.95
ہاتھ	پاؤں	0.95
شراب	کاکلا	0.93
یارڈ	انچ	0.93
انو	ایٹم	0.92
لینس	کیمرے	0.9
کھانا	رات کا کھانا	0.88
آنکھ	آنسو	0.88
خدا	شیطان	0.87
لوپ	بیلٹ	0.87
چوہا	ماؤس	0.87
موٹر	انجن	0.87
کار	ٹیکسی	0.87
کیٹ	شیر	0.85
سائز	شدت	0.84
حقیقت	تصور	0.83
دروازہ	دروازہ	0.83
کیٹ	پالتو جانور	0.82
ٹن	ایلومینیم	0.82
ہڈی	جبڑے	0.82
اناج	گندم	0.81
گھر	کلیدی	0.8
خون	گوشت	0.79
دروازہ	راہداری	0.79
خدا	روح	0.77
صلاحیت	صلاحیت	0.77
کثرت	کافی	0.77
سوفا	کرسی	0.77
دیوار	اینٹوں	0.77
سینگ	ڈھول	0.77
عضو	جگر	0.76
طاقت	شاید	0.74
جملہ	لفظ	0.74
بینڈ	پریڈ	0.74
پیٹ	کمر	0.74
بادل	طوفان	0.73
خوشی	فخر	0.72
شور	گھبراہٹ	0.72
بارش	دوبد	0.71
بیئر	مشروبات	0.71
آدمی	چاچا	0.7
سیب	رس	0.7
انٹیلی جنس	منطق	0.68
مواصلات	زبان	0.68
منک	فر	0.68
موک	بھیڑ	0.67
ساحل	ساحل	0.67
تار	ہڈی	0.67
پرندہ	ترکی	0.67
بستر	کیڑے	0.65
صلاحیت	صلاحیت	0.63
بادل	بھولبلییا	0.63
کھانا	کھانا	0.63
بار	پنجرا	0.63
پانی	نمک	0.63
احساس	انضمام	0.62
صورت حال	حالت	0.61
جرم	چوری	0.61
انداز	فیشن	0.61
حد	سرحد	0.61
بازو	جسم	0.61
کشتی	کار	0.61
سینڈوچ	دوپہر کا کھانا	0.58
دلہن	شہزادی	0.58
نایکا	ہیرو	0.56
کار	گیج	0.56
کیڑے	مکھی	0.55
کٹیا	جھولا	0.55
جانور	شخص	0.54
ماریجوانا	جڑی بوٹی	0.54
بستر	ہسپتال	0.54
گال	زبان	0.54
ڈسک	کمپیوٹر	0.54
وکر	زاویہ	0.53
گھاس	ماں	0.53
اسکول	قانون	0.52
پاؤں	سر	0.52
ماں	سرپرست	0.51
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	0.51
شراب	شراب	0.51
منہ	دانت	0.51
ناشتہ	بیکن	0.5
باتھ روم	بیڈروم	0.5
پلیٹ	کٹورا	0.5
گوشت	بیکن	0.5
ہوا	ہیلیم	0.49
کارکن	آجر	0.49
جسم	سینے	0.49
بیٹا	باپ	0.48
دل	سرجری	0.48
عورت	سیکرٹری	0.48
آدمی	باپ	0.48
ساحل سمندر	جزیرہ	0.48
کہانی	موضوع	0.47
کھیل	مزہ	0.47
ہفتے کے آخر	ہفتے	0.47
جوڑے	جوڑی	0.47
عورت	بیوی	0.47
بھیڑ	مویشیوں	0.47
پرس	بیگ	0.47
چھت	گرجا گھر	0.46
بین	کافی	0.46
لکڑی	کاغذ	0.44
اوپر	طرف	0.43
جرم	دھوکہ	0.42
درد	نقصان	0.42
عاشق	ساتھی	0.42
شام	دوپہر	0.42
باپ	بیٹی	0.42
شراب	شراب	0.42
گائے	بکری	0.42
یقین	رائے	0.41
حقیقت	برم	0.41
معاہدہ	معاہدہ	0.41
دولت	غربت	0.41
حادثہ	ایمرجنسی	0.41
جنگ	فتح	0.41
دوست	استاد	0.41
بیماری	انفیکشن	0.41
کھیل	چال	0.41
بھائی	بیٹا	0.41
چاچی	بھتیجے	0.41
کارکن	میکینک	0.41
ڈاکٹر	آرتھوڈونٹسٹ	0.41
اوک	میپل	0.41
مکھی	ملکہ	0.41
کار	سائیکل	0.41
مقصد	تلاش	0.4
اگست	مہینے	0.4
فوج	ٹیم	0.4
بادل	موسم	0.4
ڈاکٹر	ڈاکٹر	0.4
کینیا	وادی	0.4
دریا	وادی	0.4
سورج	آسمان	0.39
ہدف	تیر	0.38
چاکلیٹ	پائی	0.38
حالات	صورت حال	0.36
رائے	انتخاب	0.36
تال	مہودی	0.36
گٹ	اعصابی	0.36
دن	ڈان کی	0.36
مویشیوں	گوشت	0.36
ڈاکٹر	پروفیسر	0.36
بازو	رگ	0.36
کمرے	غسل	0.36
کارپوریشن	کاروبار	0.35
مزہ	فٹ بال	0.35
پہاڑی	کلف	0.35
ہڈی	ٹخن	0.35
سیب	کینڈی	0.35
مددگار	نوکرانی	0.34
رہنما	مینیجر	0.34
لیموں	چائے	0.34
مکھی	اینٹی	0.34
باسکٹ بال	بیس بال	0.34
چاول	بین	0.34
بستر	فرنیچر	0.34
جذبات	جذبہ	0.33
انتشار	افراتفری	0.33
جرم	خلاف ورزی	0.33
مشین	انجن	0.33
ساحل سمندر	سمندر	0.33
گلی	کٹورا	0.33
جار	بوتل	0.33
طاقت	صلاحیت	0.32
بیج	سرواں	0.32
گٹار	ڈھول	0.32
رائے	خیال	0.31
شمال	مغرب	0.31
غذا	ترکاریاں	0.31
ماں	بیوی	0.31
والد صاحب	ماں	0.31
کپتان	نااخت	0.31
میٹر	یارڈ	0.31
بیئر	شیمپین	0.31
موٹر	کشتی	0.31
کارڈ	پل	0.31
سائنس	نفسیات	0.3
گنہگار	سنت	0.3
تباہی	تعمیراتی	0.3
بھیڑ	گروپ	0.3
ساحل سمندر	ریف	0.3
آدمی	بچہ	0.3
روٹی	پنیر	0.3
چیمپئن	فاتح	0.29
جشن	تقریب	0.29
مینو	آرڈر	0.29
بادشاہ	شہزادی	0.29
دولت	وقار	0.28
برداشت	طاقت	0.28
خطرہ	خطرہ	0.28
خدا	پادری	0.28
مردوں	برادری	0.28
دوست	ساتھی	0.28
استاد	مددگار	0.28
جسم	پیٹ	0.28
زبان	حلق	0.28
گھر	قالین	0.28
انٹیلی جنس	مہارت	0.27
سفر	فتح	0.27
خدا	شکار	0.27
بھائی	روح	0.27
مخالف	مخالف	0.27
موت	تباہی	0.27
راکشس	راکشس	0.27
دن	صبح	0.27
آدمی	فاتح	0.27
دوست	لڑکے	0.27
نغمہ	کہانی	0.27
کرن	دھوپ	0.27
لڑکے	جڑنا	0.27
چکن	چاول	0.27
ڈبہ	لفٹ	0.27
مکھن	آلو	0.27
اپارٹمنٹ	فرنیچر	0.27
جھیل	دلدل	0.27
ترکاریاں	سرکہ	0.27
پھول	بلب	0.27
بادل	دوبد	0.26
ڈرائیور	پائلٹ	0.26
شکر	شہد	0.26
جسم	کندھے	0.25
خیال	تصویر	0.24
باپ	بھائی	0.24
چاند	سیارے	0.24
گیند	کپڑے	0.24
ریل	باڑ	0.24
کمرے	بستر	0.24
پھول	بش	0.24
ہڈی	گھٹنے	0.24
بازو	گھٹنے	0.24
نیچے	طرف	0.22
برتن	رگ	0.22
کیٹ	خرگوش	0.22
گوشت	سینڈوچ	0.22
یقین	تصور	0.21
انٹیلی جنس	بصیرت	0.21
توجہ	دلچسپی	0.21
رویہ	اعتماد	0.21
دائیں	انصاف	0.21
دلیل	معاہدہ	0.21
گہرائی	شدت	0.21
درمیانی	خبریں	0.21
فاتح	امیدوار	0.21
سالگرہ	تاریخ	0.21
فیس	ادائیگی	0.21
بائبل	حمد	0.21
باہر نکلیں	دروازے	0.21
آدمی	بھیجا	0.21
گلیارے	ہال	0.21
شراب	گن	0.21
خون	میرو	0.21
تیل	منک	0.21
فرش	ڈیک	0.21
چھت	فرش	0.21
دروازہ	فرش	0.21
کندھے	سر	0.21
وگن	گاڑی	0.21
کار	گاڑی	0.21
کہنی	ٹخن	0.21
دولت	شہرت	0.2
غم	شرمندگی	0.2
انتظامیہ	انتظام	0.2
مواصلات	بات چیت	0.2
آلودگی	ماحول	0.2
اناتومی	حیاتیات	0.2
کالج	پیشہ	0.2
کتاب	موضوع	0.2
فارمولہ	مساوات	0.2
کتاب	معلومات	0.2
لڑکا	شراکت دار	0.2
آسمان	کائنات	0.2
آبادی	لوگ	0.2
کالج	کلاس	0.2
چیف	میئر	0.2
ربیبی	وزیر	0.2
میٹر	انچ	0.2
پالئیےسٹر	کپاس	0.2
وکیل	بینکر	0.2
وایلن	آلے	0.2
کیمپ	کیبن	0.2
برتن	آلات	0.2
کپڑے	کپڑے	0.2
شراب	شیمپین	0.2
لڑکی	بچہ	0.2
کاٹیج	کیبن	0.2
پرندہ	ین	0.2
ریکیٹ	شور	0.19
غروب آفتاب	شام	0.19
بہاؤ	بارش	0.19
بالغ	بچه	0.19
چارکول	کوئلہ	0.19
جسم	ریڑھائی	0.19
سر	کیل	0.19
لاگ ان	لکڑی	0.19
چمچ	کپ	0.19
جسم	اعصابی	0.18
آدمی	شوہر	0.18
ہڈی	گردن	0.18
مایوسی	غصہ	0.17
دریا	سمندر	0.17
کام	ملازمت	0.16
کلب	سماج	0.16
عکس	تصویر	0.16
شہزادہ	بادشاہ	0.16
برف	موسم	0.16
لوگ	پارٹی	0.16
لڑکا	بھائی	0.16
جڑ	گھاس	0.16
برو	آنکھ	0.16
پیسہ	موتی	0.16
پیسہ	ہیرے	0.16
گاڑی	بس	0.16
ٹیکسی	بس	0.16
گھر	بنو	0.16
انگلی	کھجور	0.16
کار	پل	0.16
کوشش	مشکل	0.15
حقیقت	بصیرت	0.15
ملازمت	انتظام	0.15
کینسر	بیماری	0.15
لفظ	اخبار	0.15
موسیقار	مصنف	0.15
اداکار	گلوکار	0.15
پناہ گاہ	ہٹ	0.15
باتھ روم	باورچی خانه	0.15
کیبن	ہٹ	0.15
دروازہ	باورچی خانه	0.15
قدر	یقین	0.14
حکمت	انٹیلی جنس	0.14
جہالت	انٹیلی جنس	0.14
خوشی	قسمت	0.14
خیال	سکیم	0.14
موڈ	جذبات	0.14
خوشی	امن	0.14
نا امید	مصیبت	0.14
منطق	ریاضی	0.14
انکار	اقرار	0.14
دلیل	تنقید	0.14
جارحیت	دشمنیت	0.14
ہیسٹریا	الجھن	0.14
کیمسٹری	نظریہ	0.14
آزمائش	فیصلے	0.14
آرام	حفاظت	0.14
اعتماد	خود	0.14
اولین مقصد	خیال	0.14
دور	دہائی	0.14
جیونی	فکشن	0.14
بحث	دلیل	0.14
کوڈ	علامت	0.14
خطرہ	بیماری	0.14
حادثہ	تباہی	0.14
سفر	سفر	0.14
سرگرمی	تحریک	0.14
گپ شپ	خبریں	0.14
باپ	خدا	0.14
عمل	کورس	0.14
بخار	بیماری	0.14
ایوی ایشن	پرواز	0.14
کھیل	عمل	0.14
انو	ہوا	0.14
گھر	حالت	0.14
لفظ	ادب	0.14
بالغ	سرپرست	0.14
اخبار	معلومات	0.14
مواصلات	ٹیلی ویژن	0.14
کزن	چاچا	0.14
مصنف	ریڈر	0.14
لڑکے	شراکت دار	0.14
رقبہ	کونے	0.14
بلڈاد	نغمہ	0.14
دیوار	سجاوٹ	0.14
لفظ	صفحہ	0.14
نرس	سائنسدان	0.14
سیاست دان	صدر	0.14
صدر	میئر	0.14
کتاب	مضمون نویسی	0.14
آدمی	جنگجو	0.14
مضمون	جرنل	0.14
ناشتہ	کھانا	0.14
بھیڑ	پریڈ	0.14
گلیارے	دالان	0.14
استاد	ربیبی	0.14
ہپ	ہپ	0.14
کتاب	مضمون	0.14
کمرے	سیل	0.14
ڈبہ	بوٹ	0.14
بیٹی	بچہ	0.14
انگلی	ٹانگ	0.14
جگر	پھیپھڑوں	0.14
کلاس روم	دالان	0.14
پہاڑ	قیادت	0.14
کار	لفٹ	0.14
بستر	سوفی	0.14
کپڑے	بٹن	0.14
کپڑے	کوٹ	0.14
گردہ	عضو	0.14
سیب	چٹنی	0.14
چکن	سٹیک	0.14
کار	نلی	0.14
تمباکو	سگریٹ	0.14
طالب علم	پروفیسر	0.14
بچه	بیٹی	0.14
پائپ	سگریٹ	0.14
دودھ	رس	0.14
ڈبہ	سگریٹ	0.14
اپارٹمنٹ	ہوٹل	0.14
کپ	شنک	0.14
گھوڑے	بیل	0.14
حلق	ناک	0.14
ہڈی	دانت	0.14
ہڈی	کہنی	0.14
بیکن	بین	0.14
کپ	جار	0.14
ثبوت	حقیقت	0.13
تقرری	مصروفیت	0.13
سالگرہ	سال	0.13
لفظ	اشارہ	0.13
مصنف	خالق	0.13
ایٹم	کاربن	0.13
آرکائشی	بش	0.13
خط	پیراگراف	0.13
صفحہ	پیراگراف	0.13
کھڑی	چیپل	0.13
پٹھوں	ہڈی	0.13
پٹھوں	زبان	0.13
لڑکا	فوجی	0.13
پیٹ	پیٹ	0.13
لڑکے	لڑکی	0.13
بستر	کرسی	0.13
کپڑے	جیکٹ	0.13
بندوق	چاقو	0.13
ٹن	دھاتی	0.13
بوتل	کنٹینر	0.13
ین	ترکی	0.13
گوشت	روٹی	0.13
بازو	ہڈی	0.13
گردن	ریڑھائی	0.13
سیب	لیموں	0.13
پریشانی	غم	0.12
تفویض	کام	0.12
رات	ڈان کی	0.12
رات کا کھانا	سوپ	0.12
بچہ	بیل	0.12
برف	طوفان	0.12
کیل	ہاتھ	0.12
کتا	گھوڑے	0.12
بازو	گردن	0.12
گیند	دستانے	0.12
فلو	بخار	0.11
فیس	تنخواہ	0.11
اعصابی	دماغ	0.11
جانور	جانور	0.11
رات کا کھانا	چکن	0.11
لڑکی	نوکرانی	0.11
بچہ	لڑکا	0.11
شراب	شراب	0.11
ناک	منہ	0.11
سڑک	کار	0.11
گھنٹی	دروازہ	0.11
ڈبہ	ٹوپی	0.11
یقین	تاثر	0.1
تعصب	رائے	0.1
توجہ	شعور	0.1
غصہ	موڈ	0.1
خوبصورتی	انداز	0.1
خوبصورتی	عمر	0.1
کتاب	خیالیہ	0.1
دوست	ماں	0.1
وٹامن	لوہے	0.1
کار	فیکٹری	0.1
معاہدہ	حالت	0.0
باب	انتخاب	0.0
ریاضی	تال	0.0
فاتح	موجودگی	0.0
یقین	پھول	0.0
فاتح	مقصد	0.0
چال	سائز	0.0
انتخاب	رگ	0.0
حمد	فتح	0.0
برداشت	بینڈ	0.0
جیل	انتخاب	0.0
حالت	لڑکا	0.0
پھول	برداشت	0.0
سوراخ	معاہدہ	0.0
ڈاکٹر	مزاج	0.0
برادری	دروازہ	0.0
کام	عورت	0.0
برادری	بیس بال	0.0
سینٹ	سائز	0.0
موجودگی	دروازہ	0.0
ماؤس	انتظام	0.0
کام	ہائی وے	0.0
شراب	صدی	0.0
کام	اسٹرک	0.0
جزیرہ	کام	0.0
رات	باب	0.0
آلودگی	صدر	0.0
بندوق	چال	0.0
غسل	چال	0.0
غذا	سیب	0.0
سینٹ	بیوی	0.0
باب	دم	0.0
کورس	پیٹ	0.0
حمد	اسٹرک	0.0
دانتوں کا ڈاکٹر	کالونی	0.0
بیوی	اسٹرک	0.0
سوراخ	بیوی	0.0
طالب علم	صدر	0.0
غسل	بیوی	0.0
لوگ	سینٹ	0.0
فارمولہ	لاگ ان	0.0
عورت	فر	0.0
سیب	دھوپ	0.0
بندوق	ڈان کی	0.0
کھانا	کمر	0.0
کیمرے	صدر	0.0
شراب	بینڈ	0.0
پیٹ	رگ	0.0
بندوق	فر	0.0
سوفی	بیس بال	0.0
کارکن	کیمرے	0.0
ڈیک	ماؤس	0.0
چاول	لڑکا	0.0
لوگ	بندوق	0.0
کلف	دم	0.0
ٹخن	ونڈو	0.0
شہزادی	جزیرہ	0.0
کنٹینر	ماؤس	0.0
وگن	کنٹینر	0.0
لوگ	بیلون	0.0
ڈالر	لوگ	0.0
غسل	بیلون	0.0
پیٹ	بیڈروم	0.0
سائیکل	بیڈروم	0.0
لاگ ان	غسل	0.0
کٹورا	دم	0.0
جاؤ	آو	5.75
لے لو	چوری	3.28
سننا	سننا	3.22
سوچنا	منطقی	3.17
واقع	ہو	2.87
غائب	غائب ہو	2.76
ضرب	تقسیم	2.53
درخواست	بھگوان	2.5
شروع	ابتداء	2.44
حفاظت	دفاع	2.28
قتل کرو	تباہ	2.0
بنانا	بناؤ	1.72
قبول	رد	1.69
نظر انداز	پرہیز	1.56
لے لو	لانے	1.37
چھوڑ	درج	1.3
منتخب	چننا	1.28
کھو	ناکام	1.28
حوصلہ افزائی	دل شکستہ	1.23
حاصل	پورا	1.22
بناؤ	تعمیر	1.2
سننا	اطاعت	1.19
مطلع	مطلع	1.15
وصول	دے	1.11
قرض	مانگنا	1.0
لے لو	حاصل	0.9
مشورہ	تجویز	0.89
نقل	بیان	0.89
جیت	کامیاب	0.89
سوچنا	فیصلہ	0.88
سلام	ملیں	0.83
متفق	بحث	0.81
لطف اندوز	تفریح	0.79
تباہ	بناؤ	0.78
بچاؤ	حفاظت	0.74
دے دو	قرض دو	0.72
سمجھو	پتہ	0.71
لے لو	وصول کریں	0.7
قبول کرو	تسلیم کرتے ہیں	0.69
فیصلہ کرنا	منتخب کریں	0.67
قبول کرو	یقین	0.67
رکھو	مالک	0.62
روام	گھومنا	0.61
کامیاب	ناکام	0.61
خرچ کرو	بچاؤ	0.61
چھوڑ دو	جاؤ	0.61
آو	حاضری	0.61
پتہ	یقین	0.6
جمع	ملیں	0.55
بناؤ	کماتے	0.54
بھول جاؤ	نظر انداز	0.5
ضرب	شامل	0.5
سکڑیں	بڑھو	0.5
آو	چھوڑ دو	0.49
کامیاب	کوشش	0.48
قبول کرو	انکار	0.48
آو	آو	0.48
متفق ہوں	مختلف	0.42
بھیجیں	وصول	0.42
جیت	غلبہ	0.41
شامل	تقسیم	0.41
قتل	گلا گھونٹنا	0.41
حاصل	حاصل	0.39
حصہ لیں	شامل	0.39
چھوڑ دو	رہیں	0.34
جاؤ	درج	0.34
لے لو	لے لو	0.34
بھول جاؤ	سیکھنا	0.33
مقرر کریں	چننا	0.33
مشغول	شادی کرو	0.33
پوچھو	دعا کرو	0.33
جاؤ	بھیجیں	0.33
لے لو	فراہم کرو	0.33
بات کرو	سننا	0.33
تجزیہ کریں	اندازہ	0.28
بحث کریں	منطقی	0.28
کھو	رکھو	0.28
موازنہ کریں	تجزیہ کریں	0.28
غیر منظم	منظم	0.28
جاؤ	اجازت دیں	0.28
لے لو	مالک	0.28
سیکھنا	سننا	0.28
تباہ	تعمیر	0.28
بنانا	تعمیر کرو	0.28
چوری	خریدنے	0.28
قتل کرو	پھانسی	0.28
بھول جاؤ	پتہ	0.27
بنانا	تصور	0.27
کیا	ہو	0.27
جیت	پورا	0.27
دے دو	انکار	0.27
مستحق	کماتے ہیں	0.23
حاصل کرو	ڈالیں	0.22
تلاش کریں	مل	0.22
ظاہر	حاضری	0.22
پتہ	سمجھو	0.21
دکھاؤ	تصور	0.21
مطمئن	براہ کرم	0.21
چیری	رکھو	0.21
بحث کریں	مختلف	0.21
پر قابو پانے	غلبہ	0.21
سلوک کرنا	اطاعت کرو	0.21
تعاون کریں	حصہ لیں	0.21
حاصل کریں	کوشش کریں	0.21
ناکام	ہراساں کرنا	0.21
شروع کرو	چھوڑ دو	0.21
کہہ دو	حصہ لیں	0.21
آو	لانے	0.21
اعلان کریں	اعلان کریں	0.21
پڑھو	سمجھو	0.21
لے لو	چھوڑ دو	0.21
اعلان کرو	اعلان کریں	0.21
حاصل	حاصل کریں	0.21
اختتام کریں	فیصلہ کرنا	0.2
براہ کرم	درخواست	0.2
بحث کریں	ثابت کرو	0.2
پوچھو	درخواست	0.2
مل	غائب ہو	0.2
معائنہ	جانچ پڑتال کریں	0.2
تصدیق کریں	مستحق	0.17
فرض کرو	پیش گوئی	0.17
سیکھنا	اندازہ	0.17
بحث کریں	مستحق	0.17
بناؤ	بن	0.17
دریافت	ابتداء	0.17
حاصل کریں	کامیاب	0.17
دے دو	ڈالیں	0.17
سمجھو	سننا	0.17
توسیع	بڑھو	0.17
قرض لے	فروخت	0.17
رکھو	حفاظت کرو	0.15
وضاحت کریں	ثابت کرو	0.14
فرض کرو	دکھاؤ	0.14
متفق ہوں	براہ کرم	0.14
معاف کر دو	بھول جاؤ	0.14
واضح	وضاحت کریں	0.14
سمجھو	معاف کر دو	0.14
یاد رکھیں	بھول جاؤ	0.14
حاصل کرو	رہیں	0.14
احساس	دریافت	0.14
ضرورت ہے	پوچھ گچھ	0.14
نظر انداز	پوچھو	0.14
سوچنا	پوچھ گچھ	0.14
رد کرنا	سے بچیں	0.14
بحث کریں	رضاکارانہ	0.14
پیچھا کرنا	رضاکارانہ	0.14
قبول کرو	معاف کر دو	0.14
کیا	چھوڑ دو	0.14
تحقیقات	جانچ پڑتال کریں	0.14
بحث کریں	وضاحت کریں	0.14
الوداع	قرض دو	0.14
تلاش کریں	دریافت	0.14
شکایت	بحث کریں	0.14
واپس لے لو	رد کرنا	0.14
رکھو	قرض لے	0.14
بھگوان	پوچھو	0.14
بندوبست کریں	منظم	0.14
کم	سکڑیں	0.14
بات کرو	تسلیم کرتے ہیں	0.14
دے دو	قرض لے	0.14
