Words,Frequency
aalayy,1
aalim,5
aalime,1
aalla,1
aalm,1
aalmi,10
aaloda,5
aalok,1
aam,85
aama,4
aamaal,4
aamad,8
aamada,2
aamadah,1
aamadgi,1
aamaiz,10
aamal,2
aamd,1
aamdani,3
aamdeed,4
aameeeenn,1
aameen,38
aamen,3
aamesizh,1
aamezish,2
aamin,2
aamir,5
aamirana,1
aamiriyat,1
aamiyana,1
aamla,3
aamm,1
aamranah,2
aamriyat,7
aamriyaton,1
aamun,1
aan,12
aana,11
aanay,10
aanda,1
aandhi,1
aandy,1
aane,42
aanee,3
aaney,1
aangan,4
aani,1
aankein,1
aankh,5
aankhain,1
aankhe,1
aankhein,1
aankhen,2
aankhh,2
aankhon,7
aankhu,1
aankon,1
aanounce,1
aanso,3
aansoo,5
aansoun,1
aanti,1
aao,12
aaon,1
aaoo,1
aap,535
aapas,1
aapk,1
aapka,4
aapkay,3
aapke,6
aapkea,1
aapki,3
aapko,11
aapne,7
aapni,1
aapny,1
aapp,1
aapsay,1
aapsy,1
aapus,1
aaqa,1
aaqaeon,1
aaqaon,1
aaqibat,1
aar,2
aara,4
aaraa,1
aaraam,8
aarahe,1
aarahi,2
aarai,5
aaram,1
aare,1
aarha,4
aari,2
aarzae,1
aarzi,2
aarzo,1
aarzoo,2
aas,2
aasaan,20
aasabi,1
aasakta,1
aasakte,1
aasakti,1
aasam,1
aasan,9
aasani,9
aasar,1
aasha,1
aashaat,1
aashi,1
aashiq,1
aashiqana,1
aashique,1
aashna,8
aashob,2
aashora,1
aashura,1
aasia,1
aasmaan,1
aasmam,1
aasman,5
aasmani,2
aasodgi,1
aasra,1
aata,46
aatala,1
aatay,12
aate,23
aatee,3
aatey,1
aati,33
aaty,4
aau,1
aavin,1
aawaaz,2
aawam,1
aawar,4
aawaz,3
aawazein,1
aawez,1
aawezan,1
aawww,1
aay,7
aaya,72
aayat,1
aaye,32
aayega,1
aayein,5
aayen,1
aayi,11
aayia,1
aayy,1
aaz,1
aazaa,1
aazab,1
aazad,4
aazam,4
aazba,1
aazma,1
aazmaai,1
aazmai,5
aazmaiysh,1
aazmane,1
aazmi,3
aazoo,2
aazurda,1
ab,465
aba,7
abaad,1
abaadi,1
abaadii,1
ababel,1
ababil,1
abad,22
abadat,2
abadi,4
abadullah,1
abah,1
abai,1
abalaagh,1
abao,2
abasi,2
abasin,1
abay,7
abb,11
abba,6
abbas,9
abbasi,6
abbasiya,1
abbbbb,1
abbey,2
abbori,1
abbot,2
abbottabad,1
abbu,6
abc,3
abd,3
abdat,1
abdton,1
abdu,2
abdul,73
abdullah,44
abdulrazzaq,1
abdur,3
abe,3
abeam,1
abeeha,3
abey,4
abh,4
abhay,1
abhe,2
abhee,7
abhi,123
abhii,2
abhijab,1
abhy,1
abi,53
abid,25
abide,1
abii,1
abiii,1
ablaagh,1
ablti,1
abn,1
abnahi,1
abnormal,1
abnormalllll,1
abo,2
aboard,1
aboor,7
aboori,1
abor,1
abortion,1
about,30
above,1
abqari,4
abqri,2
abqrri,1
abr,1
abra,1
abraham,2
abram,1
abrar,1
abrat,1
abroad,1
abroo,1
abs,2
absa,2
absolutely,2
abtar,2
abtari,1
abtuo,1
abu,34
abulla,1
aburi,1
abuse,1
abutalib,2
aby,10
abyy,2
abyyy,1
ac,4
academies,1
academy,27
acadmy,2
acahanak,2
acahy,1
acaunt,1
accama,1
accent,1
accept,3
accessories,1
accha,9
acche,1
acchi,1
accident,5
accidents,2
according,2
account,5
accountant,1
accounts,3
accuracy,1
accurate,2
acer,1
ach,4
acha,388
achaa,6
achaaa,1
achaaaa,2
achaan,1
achaar,1
achahiye,1
achai,2
achakzai,2
achanak,21
achanek,1
achank,1
achasorry,2
achasorrybye,1
achaw,2
achay,39
achayyy,1
achcha,6
achchay,1
achche,3
achchey,1
achchi,1
ache,41
achee,12
achey,2
achha,9
achhay,1
achhot,1
achhy,1
achi,289
achievement,7
achiheh,1
achii,2
achison,1
achoota,1
achotey,1
achwa,2
achy,35
acid,2
acne,1
acnes,1
acno,1
aco,1
acount,1
acre,1
across,1
act,5
acting,84
action,27
activate,3
active,1
activists,1
activity,3
actng,1
actor,38
actors,12
actorz,2
actress,30
actresses,10
actually,6
ad,6
ada,65
adaa,23
adaaa,2
adaad,1
adaalat,1
adaalati,2
adaaon,2
adab,32
adabi,3
adabparon,1
adad,6
adaegi,2
adaeygi,1
adaigi,5
adaigion,1
adair,1
adaiygi,1
adakar,15
adakara,13
adakaran,1
adakarana,1
adakaraon,4
adakari,26
adakaron,7
adal,6
adala,1
adalar,1
adalat,19
adalaten,1
adalati,1
adalaton,2
adalaty,1
adalt,1
adalti,3
adalto,1
adalton,2
adam,21
adamjee,2
adan,2
adapt,1
adaq,1
adar,3
adara,3
adarat,3
adaray,1
adare,2
adarey,3
adariyon,1
adaron,4
adarti,1
adat,8
adatal,1
adaten,1
adavaan,1
adayeeeeiinnnn,1
adb,1
adbi,28
adbiyat,2
adbp,1
add,18
adda,8
addaa,1
adday,2
addbi,1
adde,1
addictive,1
addition,3
additional,2
additor,1
address,3
addy,1
adebon,1
adeeb,5
adeeba,1
adeebo,2
adeebon,1
adeh,1
adelaide,3
adem,2
adh,2
adha,4
adhak,1
adhay,2
adhi,4
adhora,1
adhori,5
adhy,1
adi,3
adiamirager,1
adib,1
adil,4
adjust,1
adjustable,2
adjusting,1
adleed,1
adlia,2
adliya,6
admi,9
admin,31
admine,2
administration,3
administrator,2
admisions,1
admission,5
admit,2
admiyat,1
admiyon,1
admn,1
adnan,20
adob,1
adolf,1
adopt,1
adorable,1
adraak,1
adrak,1
adrat,1
adreeeee,1
adres,1
adress,1
adris,1
adriya,1
adten,1
adu,1
adul,1
adv,1
advance,3
adventure,5
adventures,3
advertise,1
advertisement,3
advertising,1
advice,2
advisor,2
advisory,2
advocate,1
adwaar,3
adwaiyat,1
adwar,2
adwiya,1
adwiyaat,1
adyalateri,1
adyan,1
ae,32
aea,1
aeay,1
aeb,1
aed,1
aedaad,3
aee,1
aeege,1
aega,2
aegi,2
aehad,1
aehal,4
aehalkar,1
aeham,30
aehbaab,1
aehde,2
aehkamat,2
aehl,2
aehmiyat,7
aehsaas,2
aehtejaaj,1
aehtejaj,1
aehtemam,2
aehwal,1
aein,3
aekar,1
aelaan,3
aelan,1
aelania,1
aen,4
aena,1
aenda,4
aendah,1
aenelz,1
aenge.in,1
aeroplane,1
aesa,39
aesaab,1
aesahi,1
aesay,1
aese,19
aesi,37
aesii,1
aesy,7
aeteraf,3
aethe,1
aetimad,1
aetmaad,10
aevi,1
aewan,1
aey,6
aeyea,1
aeyse,1
aeza,1
aezaaz,20
aezaazi,2
aezazaat,8
aezazi,2
afaat,2
afaq,2
afaqahmad,2
afaqiyat,1
afat,2
affair,1
affairs,1
affan,2
affia,2
affiat,1
affinity,1
affordable,1
afganistan,1
afghan,11
afghana,1
afghani,3
afghanistan,27
afghaniyoo,1
afghanon,1
afghanstan,2
afham,1
afia,43
afiat,4
afidi,1
afiya,6
afiyat,4
afizal,1
afkaar,1
afkar,1
afnan,1
afraad,37
afraat,1
afrad,75
afradi,1
afratafri,3
afreede,1
afreen,2
africa,7
african,1
afridi,52
afridii,2
afridiii,1
afrin,1
afrine,2
afriyat,2
afroz,1
afsana,7
afsanay,1
afsane,4
afsanon,2
afsanvi,1
afsanwi,2
afsar,3
afsaran,5
afser,1
afshan,1
afshaniyon,1
afsoos,10
afsoosnaak,2
afsos,36
afsosatleast,1
afsoss,1
afsoz,1
afsro,1
afsurdagi,1
afsurdah,3
aftaar,1
aftab,8
aftad,1
aftar,1
after,15
afterall,1
aftr,1
afwaah,1
afwahen,3
afwahon,2
afwaj,5
afya,1
afyuni,1
afzaa,1
afzaai,5
afzai,17
afzaii,1
afzal,11
afzodgi,1
ag,3
agab,1
agae,6
agaein,1
agaen,1
agaey,1
agah,4
agahi,1
agai,12
agaii,2
again,8
against,5
agala,1
agam,1
agar,188
agarcha,18
agarchay,6
agatha,1
agay,24
agaya,25
agaye,7
agayein,1
agayi,3
agaz,17
age,14
agen,1
agency,5
agenda,1
agent,2
agents,1
ager,15
ages,1
agey,4
ageya,1
agg,3
aggar,2
aggesively,1
aggy,1
agha,8
aghar,2
aghaz,32
aghe,1
aghomath,3
aghr,1
aghwa,1
aghyar,1
agla,5
aglay,8
agle,15
agley,2
agli,9
aglne,1
agly,2
ago,3
agr,81
agra,1
agrah,1
agrataj,1
agree,18
agreed,2
agrmi,1
agwa,6
agwah,1
agy,19
agya,10
agyaaa,1
agye,4
agyeh,1
ah,12
aha,9
ahaa,2
ahaaaaaa,1
ahaah,1
ahaahaaha,1
ahad,2
ahadees,1
ahaha,3
ahahah,2
ahahaha,4
ahahahaahah,1
ahahahah,4
ahahahahah,1
ahahahahhaha,1
ahahahahhahaha,1
ahahahha,1
ahahahhaa,1
ahahha,1
ahahhaha,1
ahal,17
ahali,1
ahalkar,3
ahalkaron,1
aham,31
ahamiyat,5
ahan,7
ahang,1
ahangi,4
ahata,5
ahataa,1
ahatah,2
ahate,1
ahbab,3
ahbbaa,1
ahde,1
ahe,2
ahead,3
ahee,1
ahelkar,5
ahelkaru,1
ahem,17
ahetajaj,1
ahha,1
ahhaa,1
ahhaha,1
ahhahah,1
ahhahha,1
ahhahhahahhahahahahahahah,1
ahhhh,1
ahi,4
ahilkar,4
ahilkaro,1
ahin,1
ahista,5
ahkamat,3
ahla,1
ahlay,1
ahle,4
ahlesunnah,3
ahli,3
ahliya,2
ahlkar,1
ahlo,1
ahm,5
ahmad,18
ahmadabad,8
ahmaq,1
ahmaqana,1
ahmed,84
ahmedabad,2
ahmedyar,1
ahmer,2
ahmeyat,1
ahmiyat,10
ahmyat,1
aho,11
ahooo,3
ahooooooo,1
ahqab,1
ahreee,1
ahrram,1
ahsaan,2
ahsaas,2
ahsan,33
ahsanabad,1
ahsas,6
ahsita,1
ahstgi,1
ahtaram,2
ahtayjaj,1
ahtejaj,4
ahtemam,4
ahteram,5
ahthyat,4
ahtijaj,6
ahtiram,1
ahtiyaat,1
ahtiyat,2
ahtjaj,1
ahtsabi,1
ahuru,1
ahy,1
ahya,1
ahyan,1
ahyaun,1
ahye,1
ahyo,1
ahyun,1
ai,38
aia,1
aiad,1
aib,7
aibadat,1
aid,3
aida,1
aids,4
aie,10
aiek,1
aiga,1
aihsaaz,1
aihteraam,2
aii,3
aij,2
aijaad,2
aijax,1
aijaz,1
aik,1048
aikido,4
aikk,1
ail,1
ailan,3
aim,2
aiman,1
aimen,2
ain,13
ainay,1
ainda,3
aindah,3
aingaein,1
air,30
airbase,2
aircraft,1
airforce,1
airline,3
airlines,1
airlink,1
airport,12
airports,1
airs,1
ais,8
aisa,99
aisaa,2
aisaaa,1
aisai,1
aisay,20
aise,56
aisea,1
aisee,2
aiseeee,1
aiseeeee,1
aisey,7
aish,4
aisha,1
aishion,2
aisi,49
aisii,1
aiski,1
aiso,1
aist,1
aisy,29
aitabar,1
aitamaad,1
aitamad,3
aitbaar,2
aitbar,1
aitebar,3
aitedaal,1
aitekaf,1
aitemad,4
aitemadi,1
aiteraaf,2
aiteraf,3
aitikaf,1
aitiraf,1
aitkaf,1
aitmaad,1
aitqaad,1
aitraaf,1
aitraaz,4
aitraf,4
aitraz,2
aitrazaat,2
aiwan,1
aiya,1
aiyaash,1
aiye,1
aiyein,1
aiyeine,1
aiyun,1
aiza,3
aizaz,1
aizazat,1
aj,149
aja,14
ajaa,1
ajab,3
ajae,4
ajaebaat,2
ajaegi,1
ajaen,1
ajahan,1
ajai,2
ajain,1
ajaiya,1
ajana,1
ajao,11
ajaoo,1
ajaou,1
ajar,6
ajaradari,1
ajarah,1
ajata,8
ajatay,1
ajati,2
ajaty,1
ajay,1
ajaye,5
ajaz,2
ajazat,1
ajb,1
ajdaad,1
ajdad,3
ajeb,1
ajeeb,35
ajer,2
ajib,1
ajiya,8
ajj,18
ajjj,1
ajka,1
ajkal,4
ajki,2
ajkl,3
ajmaeen,1
ajmair,1
ajmal,4
ajnabee,1
ajnabi,1
ajoobaa,1
ajpne,1
ajr,3
ajra,1
ajrak,1
ajtma,1
ajuti,2
ajwa,1
ajwian,1
ajy,1
ajz,1
ak,35
akad,1
akadmi,1
akailey,1
akal,3
akalay,1
akaly,2
akar,6
akarn,1
akarr,1
akas,1
akasariyat,1
akasi,1
akbaal,1
akbar,15
akbari,1
akber,1
akbhee,1
akdadar,1
ake,2
akela,3
akelal,1
akelay,2
akele,4
akeley,1
akeli,2
aker,3
aket,1
akhai,1
akhairee,1
akhar,1
akhari,1
akhatta,1
akhbaar,1
akhbar,9
akhbaraat,2
akhbarat,5
akhbat,1
akheeer,1
akheer,3
akher,1
akherat,2
akhir,39
akhirat,1
akhiri,16
akhirt,1
akhiruz,1
akhiyan,1
akhlaq,2
akhlaqi,1
akho,1
akhrajaat,1
akhrajat,7
akhrat,5
akhri,27
akhriat,1
akhtalafat,2
akhtamam,1
akhtar,9
akhtayar,1
akhter,2
akhtetam,1
akhtraay,1
akhttha,1
akhtyarat,1
aki,3
akib,1
akir,1
akkasi,3
akki,1
akkrha,1
akliton,1
aklouti,1
akmal,24
akmal.ko,1
akmal.na,1
akml,2
aknaf,1
aknh,1
akram,44
aks,7
aksar,25
aksariyat,4
aksaryat,3
aksbandi,7
akser,2
akshan,1
akshay,2
akshey,1
akshy,1
aksr,3
aksriyat,1
aktay,1
aktefa,1
aktruss,1
aky,1
al,32
ala,30
alaa,5
alaaa,2
alaaaaa,1
alaah,1
alaaya,1
alabama,2
alag,31
alaga,1
alah,2
alahazrat,1
alahidgi,1
alaikum,10
alakum,1
alal,1
alalat,2
alam,50
alama,3
alamaat,2
alamat,6
alambardar,1
alamberdar,1
alamdar,1
alameen,2
alamgeer,1
alamgir,1
alami,5
alamnaak,2
alan,9
alananit,1
alaqay,1
alaqi,1
alaqon,2
alaqye,1
alarm,1
alauddin,1
alaw,3
alawa,12
alawwal,1
alaya,5
alayhi,1
albania,1
albata,5
albath,1
albatta,4
albta,1
album,8
albums,2
alcohol,1
alcoholic,1
aldo,1
aleem,2
aleemakhan,1
aleen,1
alegre,1
alehadgi,2
alehda,10
alehdah,2
alehdgi,10
alek,1
alekum,2
alert,3
alerts,1
ales,1
alevels,1
alewas,1
alfaaz,7
alfaid,2
alfax,1
alfaz,23
alg,6
algebra,2
alha,1
alhaal,1
alhamdo,1
alhamdolillah,3
alhamduallah,1
alhamdulilah,9
alhamdulillah,8
alhamdullilah,1
alhamra,1
alhaq,1
alhayda,1
alhaye,1
alhazab,1
alheda,1
alhmdolillah,1
alhram,1
alhumdulilah,2
alhumdulillah,2
ali,253
alice,2
alif,7
aligarh,5
alikom,1
alikum,2
alikumap,1
alikumiqrar,2
alim,1
alimi,1
alipur,1
alison,1
aliya,2
alkalam,2
alkaram,1
alkareem,5
alkhair,1
alkhd,1
all,96
alla,21
allaaaaa,1
allaahhh,1
allag,7
allah,1095
allah.allah,1
allah.ho.aqbr,1
allaha,14
allahallah,8
allahapak,1
allahbalsng,2
allahen,1
allahhoakbar,1
allahhusamad,1
allahi,1
allahlafz,1
allahmare,2
allahmasha,1
allahtaala,1
allak,1
allama,28
allamaiqbal,1
allan,6
allaop.ko,1
allauddin,1
allaw,6
allawww,2
allegation,1
allergy,1
allh,1
allha,17
allhamduiallah,1
alliance,2
allied,1
alll,1
alllah,2
allocate,1
allot,1
alloulad,5
allow,1
allowance,1
allrounder,1
allz,1
almana,1
almeay,2
almeen,1
almi,46
almighty,2
almiya,1
almiye,1
almkrm,1
almnak,1
almost,5
almr,1
almubarak,1
alnahyan,1
alnoo,1
along,1
aloo,1
alood,4
aloodgi,3
alot,3
alottt,1
alqaab,1
alqadar,1
alqaida,1
alrdy,1
already,10
alright,2
alsani,1
alsar,1
also,16
altaaf,1
altaf,53
although,1
altmash,1
aluminium,1
alvaaz,1
alvidah,2
alwa,1
alwaayss,1
alwada,2
always,17
alwayzzz,1
alwidaai,1
alyhda,1
alys,1
alzam,1
alzamlanat,1
am,40
ama,4
amaaa,1
amaada,2
amaal,6
amaan,2
amaanat,1
amaant,1
amad,5
amada,1
amaizing,1
amal,69
amala,1
amaldaar,1
amaldaramad,1
amali,2
amalon,1
amama,2
aman,43
amanabbasi,1
amanat,5
amanatan,1
amane,1
amant,1
amantech,1
amanullah,2
amar,14
amarat,1
amary,1
amateur,3
amaxing,1
amaya,1
amaze,1
amazing,15
amazingly,1
amb,1
ambala,1
ambassador,1
amber,1
ambiah,2
ambient,1
amblin,2
ambrin,1
ambulance,19
ambulances,7
amby,1
amdad,2
amdani,2
amded,1
amdorafat,1
amee,1
ameed,1
ameeeeeen,2
ameeeeen,1
ameeeen,3
ameeen,8
ameen,316
ameenameen,8
ameenlabaik,1
ameenn,1
ameer,19
amen,11
amend,1
amendments,2
amer,3
amera,1
amergency,1
america,75
american,39
americans,1
americi,3
amerika,1
amerikan,1
amez,1
ameza,1
ami,33
amie,1
amin,15
amir,17
amirana,1
amitabh,5
amitsar,1
amiya,1
amjad,3
amjadia,1
amjgah,1
amjid,2
amko,1
aml,3
amla,7
amlan,2
amley,1
amli,20
amm,14
amma,8
ammaan,1
ammal,5
amman,4
ammar,1
ammara,1
ammarah,1
ammeen,3
ammen,1
ammi,19
ammii,1
ammm,1
ammol,1
ammonization,1
ammunition,1
amn,1
amna,4
amne,1
amnesty,1
amni,2
amoman,3
amomi,3
amon,1
amooman,1
amoor,6
amor,4
amount,2
amp,28
ampala,1
amraaz,1
amraz,2
amreica,1
amriaat,1
amriat,1
amrica,11
amrici,1
amriki,2
amrita,1
amritsar,6
amriyat,2
amroli,1
amroz,2
amshe,1
amzing,1
amzng,1
an,12
ana,32
ana.hay,1
anaa,2
anaari,1
anab,3
analysis,2
anam,1
aname,1
anand,2
anar,3
anasir,4
anat,1
anatomy,1
anay,20
anayat,1
anbala,1
anchi,1
anchor,5
and,263
anda,1
andaaz,40
andaaza,1
andalib,1
andar,23
anday,4
andaz,27
andaza,30
andazah,3
andaze,1
anddoz,1
ande,1
andeera,2
ander,5
andesh,3
andesha,1
andha,6
andhaira,1
andhairay,1
andhay,1
andhe,2
andhera,1
andheray,2
andhere,2
andhey,2
andhi,2
andhon,1
andhra,1
andhy,2
andi,1
andiron,1
andiya,1
andohnaak,1
andoz,5
andoze,1
andozi,1
andr,3
andriod,1
android,1
androidp,1
andron,3
androne,1
androni,1
androon,4
andy,2
andya,1
ane,14
anee,2
aney,9
anfaradi,2
angaaro,1
angaiz,13
angar,1
angazi,1
angel,2
angela,1
angeles,3
angelina,19
anger,2
angez,7
anghuta,1
angle,2
angles,1
anglo,1
angoor,2
angootha,1
angothay,2
angothi,1
angothon,1
angraizi,1
angrazoon,1
angreazi,1
angreez,1
angreizi,1
angres,1
angrez,15
angrezi,12
angrezon,6
angutha,1
anhi,1
anhin,1
anhk,1
ani,11
animal,2
animated,1
anj,1
anjaam,27
anjam,26
anjomanon,1
anjuman,36
anjumano,1
anjumanon,1
ank,1
anker,1
ankh,7
ankhain,1
ankhay,1
ankhein,3
ankho,2
ankhon,6
ankhy,2
ankhyo,1
ankl,1
anklet,1
anko,1
ankon,1
anmol,31
anmool,2
anna,11
anni,1
annie,2
announce,4
announcer,1
announcing,1
annual,2
anokha,1
anokhi,5
anonymously,1
another,2
anoukha,1
anp,4
anpa,1
anparh,1
anpi,1
anqareeb,1
ans,4
ansafyon,1
ansaiya,1
ansar,31
ansari,30
ansha,1
ansoo,2
answer,5
ant,1
anthak,2
anthony,2
anti,44
antie,1
antii,1
antiii,2
antiiiiiiii,1
antizehr,1
anty,18
anu,2
anum,3
anuman,1
anurag,1
anuty,1
anw,1
anwan,1
anwar,52
anxiety,1
anxious,1
anxiously,1
any,35
anyaa,1
anye,2
anyl,1
anymore,1
anyome,1
anyone,2
anything,3
anyways,1
ao,34
aoa,12
aoa.kia,1
aoama,1
aoashahbaz,1
aoawo,1
aoge,1
aohda,1
aokha,1
aolado,1
aolat,1
aon,1
aony,1
aoo,6
aoongi,1
aooo,1
aor,39
aorat,1
aoskae,1
aosol,1
aounga,1
aour,1
aourat,2
ap,795
ap.ki,1
apa,1
apani,1
apas,8
apay,1
apc,1
apca,18
apcasindh,2
apeal,3
apen,1
api,10
apii,1
apilin,1
apk,9
apka,47
apkaa,1
apkaaa,1
apkadars,1
apkay,3
apke,14
apkea,1
apkee,1
apki,82
apkii,2
apko,97
apky,15
aplication,1
aply,1
apme,1
apmf,2
apmso,1
apn,2
apna,195
apnae,1
apnai,1
apnane,1
apnao,1
apnapan,1
apnate,1
apnay,83
apnaya,1
apne,425
apnea,1
apneaap,2
apnee,4
apney,16
apni,508
apnii,2
apnin,1
apno,4
apnon,4
apns,1
apny,127
apollo,1
apoon,1
apozishan,1
app,171
appeal,19
appearance,2
apperance,1
applicable,1
applies,1
apply,12
appna,1
appne,1
appney,1
appni,2
appp,1
apppp,1
appreciate,4
appreciations,1
apprend,1
approve,2
approved,4
approx,1
apricots,1
april,36
aps,5
apsand,1
apsay,1
apse,5
apsy,1
apun,1
apwa,2
aqa,1
aqaabi,1
aqaid,1
aqaiyd,2
aqal,19
aqalmand,1
aqarib,1
aqawami,5
aqawani,1
aqbii,1
aqdaar,1
aqdam,1
aqdamat,2
aqdas,1
aqea,1
aqeeda,1
aqeedat,3
aqeedatein,1
aqeel,1
aqib,1
aql,1
aqleem,1
aqleeyat,1
aqli,2
aqliyat,1
aqlyton,1
aqoobat,1
aqraba,2
aqsa,3
aqsayy,1
aqtaydar,3
aqtesadi,1
aqwaam,1
aqwal,1
aqwam,9
aqwami,28
ar,15
ara,2
araam,7
araamday,2
araamdey,1
arab,32
arabia,2
arabic,6
arabpati,1
aradit,1
arafat,1
arah,1
araha,12
arahay,1
arahe,2
arahi,8
arahiii,1
arai,2
araib,1
arain,3
araish,1
arakeen,1
aram,12
aramdah,1
aramday,1
aramy,1
arany,1
arasta,1
arastah,1
aray,5
arazi,4
arba,1
arbab,1
arbaz,1
arbi,3
arbic,1
arbon,1
arc,1
arcade,1
ard,4
ardili,1
ardy,1
are,60
area,23
areas,6
areeba,1
aren,1
arena,1
arest,1
arey,4
arfa,1
argar,1
argentina,3
argument,1
arha,3
arhaamar,2
arhaamur,1
arhay,1
arhi,7
arhii,1
arhy,2
ari,2
arif,1
arifullah,1
arjun,2
arkaan,3
arkan,14
arm,4
armaan,3
arman,4
armed,1
armeen,2
armeena,2
armi,1
arms,2
army,56
aron,1
arooj,5
aroplan,1
arq,2
arqum,1
arranged,1
array,2
arrays,1
arrchan,1
arre,1
arrest,1
arrey,3
arreyy,1
arrived,1
arrrrraaayyyy,1
arryy,1
arsa,21
arsaa,9
arsaaaaa,1
arsaallll,1
arsal,55
arsal.and,1
arsal.wale,1
arsala,1
arsalan,1
arsay,7
arse,12
arsel,1
arsey,19
arshad,1
arshema,1
arshid,1
arsl,1
arslan,1
arsy,1
art,38
artae,1
arthur,3
arti,1
article,4
articulation,1
artificial,1
artist,8
artistic,1
artists,12
arts,12
aru,1
arxal,1
ary,20
aryal,1
aryan,1
arynews,2
aryyyy,1
aryyyyy,1
arz,13
arzan,1
arzi,2
arzoo,1
as,58
asa,28
asaa,1
asaan,4
asaana,1
asaani,2
asaas,1
asaason,1
asaasu,1
asab,2
asabab,1
asabi,1
asad,8
asai,1
asaib,1
asaka,1
asal,35
asalam,1
asalam.khaire,1
asalamu,1
asalamwalikum,1
asalo,1
asan,20
asani,11
asaniyan,1
asap,1
asar,51
asaraar,1
asarat,1
asasa,1
asataza,1
asatiza,1
asatzah,1
asaw,1
asay,4
asb,1
asbaab,1
asbaaq,1
asbab,3
asbat,1
asbiat,2
ase,14
ased,1
aseer,1
aseeri,1
asees,3
aser,1
ases,1
asey,1
asfhu,1
asgar,1
asghar,2
ash,1
asha,2
ashaar,5
ashaat,3
ashad,3
ashanti,1
asharf,1
ashat,4
ashati,1
ashba,1
ashfaq,11
ashi,1
ashia,1
ashian,1
ashion,1
ashiq,3
ashkbar,1
ashkhas,1
ashna,1
ashob,2
ashooo,1
ashraf,7
ashrafiya,1
ashray,1
ashre,1
ashrey,3
ashron,2
ashur,1
ashwariya,3
asi,27
asia,8
asian,1
asiaye,1
asif,31
asifa,1
asifalizardari,2
